REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2020,936.207
"CLEWSity","AGRPST001",2021,954.783596385542
"CLEWSity","AGRPST001",2022,973.504843373494
"CLEWSity","AGRPST001",2023,992.226090361446
"CLEWSity","AGRPST001",2024,1010.9473373494
"CLEWSity","AGRPST001",2025,1035.909
"CLEWSity","AGRPST001",2026,1054.63024698795
"CLEWSity","AGRPST001",2027,1073.3514939759
"CLEWSity","AGRPST001",2028,1098.31315662651
"CLEWSity","AGRPST001",2029,1117.03440361446
"CLEWSity","AGRPST001",2030,1141.99606626506
"CLEWSity","AGRPST001",2031,1166.95772891566
"CLEWSity","AGRPST001",2032,1185.67897590361
"CLEWSity","AGRPST001",2033,1210.64063855422
"CLEWSity","AGRPST001",2034,1235.60230120482
"CLEWSity","AGRPST001",2035,1260.56396385542
"CLEWSity","AGRPST001",2036,1285.52562650602
"CLEWSity","AGRPST001",2037,1310.48728915663
"CLEWSity","AGRPST001",2038,1335.44895180723
"CLEWSity","AGRPST001",2039,1366.65103012048
"CLEWSity","AGRPST001",2040,1391.61269277108
"CLEWSity","AGRPST001",2041,1416.57435542169
"CLEWSity","AGRPST001",2042,1447.77643373494
"CLEWSity","AGRPST001",2043,1478.97851204819
"CLEWSity","AGRPST001",2044,1503.9401746988
"CLEWSity","AGRPST001",2045,1535.14225301205
"CLEWSity","AGRPST001",2046,1566.3443313253
"CLEWSity","AGRPST001",2047,1597.54640963855
"CLEWSity","AGRPST001",2048,1628.74848795181
"CLEWSity","AGRPST001",2049,1659.95056626506
"CLEWSity","AGRPST001",2050,1697.39306024096
"CLEWSity","AGRPST001",2051,1728.59513855422
"CLEWSity","AGRPST001",2052,1766.03763253012
"CLEWSity","AGRPST001",2053,1797.23971084337
"CLEWSity","AGRPST001",2054,1834.68220481928
"CLEWSity","AGRPST001",2055,1872.12469879518
"CLEWSity","LNDCRP001I",2020,15.54
"CLEWSity","LNDCRP001I",2021,14.50437
"CLEWSity","LNDCRP001I",2022,13.46763
"CLEWSity","LNDCRP001I",2023,12.432
"CLEWSity","LNDCRP001I",2024,11.39637
"CLEWSity","LNDCRP001I",2025,14.800195882353
"CLEWSity","LNDCRP001I",2026,22.7614435608262
"CLEWSity","LNDCRP001I",2027,31.9949011764706
"CLEWSity","LNDCRP001I",2028,39.9771731674881
"CLEWSity","LNDCRP001I",2029,47.2379313451625
"CLEWSity","LNDCRP001I",2030,57.677254117647
"CLEWSity","LNDCRP001I",2031,56.640514117647
"CLEWSity","LNDCRP001I",2032,76.1769602941176
"CLEWSity","LNDCRP001I",2033,79.4213512911923
"CLEWSity","LNDCRP001I",2034,78.3846112911923
"CLEWSity","LNDCRP001I",2035,79.1149393726904
"CLEWSity","LNDCRP001I",2036,88.1712176470588
"CLEWSity","LNDCRP001I",2037,98.0222227941177
"CLEWSity","LNDCRP001I",2038,108.199249632353
"CLEWSity","LNDCRP001I",2039,118.213041176471
