REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRCRP001",2020,223.882352941176
"CLEWSity","AGRCRP001",2021,223.841747516915
"CLEWSity","AGRCRP001",2022,239.987833135376
"CLEWSity","AGRCRP001",2023,240.311076913657
"CLEWSity","AGRCRP001",2024,256.444995227089
"CLEWSity","AGRCRP001",2025,247.331517344736
"CLEWSity","AGRCRP001",2026,241.893082344735
"CLEWSity","AGRCRP001",2027,254.365636369354
"CLEWSity","AGRCRP001",2028,248.928201369354
"CLEWSity","AGRCRP001",2029,243.489766369354
"CLEWSity","AGRCRP001",2030,225.425188369354
"CLEWSity","AGRCRP001",2031,215.489766369354
"CLEWSity","AGRCRP001",2032,208.790069936532
"CLEWSity","AGRCRP001",2033,198.854180936533
"CLEWSity","AGRCRP001",2034,195.130089818058
"CLEWSity","AGRCRP001",2035,204.880622877709
"CLEWSity","AGRCRP001",2036,226.662198890205
"CLEWSity","AGRCRP001",2037,231.081230918804
"CLEWSity","AGRCRP001",2038,248.436498905229
"CLEWSity","AGRCRP001",2039,226.391014415328
"CLEWSity","AGRCRP001",2040,222.884828778843
"CLEWSity","AGRCRP001",2041,229.714130739627
"CLEWSity","AGRCRP001",2042,236.347354269037
"CLEWSity","AGRCRP001",2043,238.838817144728
"CLEWSity","AGRCRP001",2044,266.175005085905
"CLEWSity","AGRCRP001",2045,258.130572319102
"CLEWSity","AGRCRP001",2046,388.948772029425
"CLEWSity","AGRCRP001",2047,408.681377729469
"CLEWSity","AGRCRP001",2048,412.19113161165
"CLEWSity","AGRCRP001",2049,431.923737311694
"CLEWSity","AGRCRP001",2050,451.664564663295
"CLEWSity","AGRCRP001",2051,488.598960203813
"CLEWSity","AGRCRP001",2052,541.764429213748
"CLEWSity","AGRCRP001",2053,585.363736
"CLEWSity","AGRCRP001",2054,598.977479666667
"CLEWSity","AGRCRP001",2055,692.616212910847
"CLEWSity","AGRPST001",2020,3587
"CLEWSity","AGRPST001",2021,3658.17469879518
"CLEWSity","AGRPST001",2022,3729.90361445783
"CLEWSity","AGRPST001",2023,3801.63253012048
"CLEWSity","AGRPST001",2024,3873.36144578313
"CLEWSity","AGRPST001",2025,3969
"CLEWSity","AGRPST001",2026,4040.72891566265
"CLEWSity","AGRPST001",2027,4112.4578313253
"CLEWSity","AGRPST001",2028,4208.09638554217
"CLEWSity","AGRPST001",2029,4279.82530120482
"CLEWSity","AGRPST001",2030,4375.46385542169
"CLEWSity","AGRPST001",2031,4471.10240963855
"CLEWSity","AGRPST001",2032,4542.8313253012
"CLEWSity","AGRPST001",2033,4638.46987951807
"CLEWSity","AGRPST001",2034,4734.10843373494
"CLEWSity","AGRPST001",2035,4829.74698795181
"CLEWSity","AGRPST001",2036,4925.38554216867
"CLEWSity","AGRPST001",2037,5021.02409638554
"CLEWSity","AGRPST001",2038,5116.66265060241
"CLEWSity","AGRPST001",2039,5236.21084337349
"CLEWSity","AGRPST001",2040,5331.84939759036
"CLEWSity","AGRPST001",2041,5427.48795180723
"CLEWSity","AGRPST001",2042,5547.03614457831
"CLEWSity","AGRPST001",2043,5666.5843373494
"CLEWSity","AGRPST001",2044,5762.22289156627
"CLEWSity","AGRPST001",2045,5881.77108433735
"CLEWSity","AGRPST001",2046,6001.31927710844
"CLEWSity","AGRPST001",2047,6120.86746987952
"CLEWSity","AGRPST001",2048,6240.4156626506
"CLEWSity","AGRPST001",2049,6359.96385542169
"CLEWSity","AGRPST001",2050,6503.42168674699
"CLEWSity","AGRPST001",2051,6622.96987951807
"CLEWSity","AGRPST001",2052,6766.42771084337
"CLEWSity","AGRPST001",2053,6885.97590361446
"CLEWSity","AGRPST001",2054,7029.43373493976
"CLEWSity","AGRPST001",2055,7172.89156626506
"CLEWSity","FORWOO001",2020,9.041
"CLEWSity","FORWOO001",2021,9.222
"CLEWSity","FORWOO001",2022,9.407
"CLEWSity","FORWOO001",2023,9.595
"CLEWSity","FORWOO001",2024,9.787
"CLEWSity","FORWOO001",2025,9.982
"CLEWSity","FORWOO001",2026,10.182
"CLEWSity","FORWOO001",2027,10.386
"CLEWSity","FORWOO001",2028,10.593
"CLEWSity","FORWOO001",2029,10.805
"CLEWSity","FORWOO001",2030,11.021
"CLEWSity","FORWOO001",2031,11.242
"CLEWSity","FORWOO001",2032,11.467
"CLEWSity","FORWOO001",2033,11.696
"CLEWSity","FORWOO001",2034,11.93
"CLEWSity","FORWOO001",2035,12.168
"CLEWSity","FORWOO001",2036,12.412
"CLEWSity","FORWOO001",2037,12.66
"CLEWSity","FORWOO001",2038,12.913
"CLEWSity","FORWOO001",2039,13.172
"CLEWSity","FORWOO001",2040,13.435
"CLEWSity","FORWOO001",2041,13.704
"CLEWSity","FORWOO001",2042,13.978
"CLEWSity","FORWOO001",2043,14.257
"CLEWSity","FORWOO001",2044,14.542
"CLEWSity","FORWOO001",2045,14.833
"CLEWSity","FORWOO001",2046,15.13
"CLEWSity","FORWOO001",2047,15.433
"CLEWSity","FORWOO001",2048,15.741
"CLEWSity","FORWOO001",2049,16.056
"CLEWSity","FORWOO001",2050,16.377
"CLEWSity","FORWOO001",2051,16.705
"CLEWSity","FORWOO001",2052,17.039
"CLEWSity","FORWOO001",2053,17.38
"CLEWSity","FORWOO001",2054,17.727
"CLEWSity","FORWOO001",2055,18.082
"CLEWSity","IMPDSL001",2020,16.3891092293349
"CLEWSity","IMPDSL001",2021,31.7601530386188
"CLEWSity","IMPDSL001",2022,48.6387156999371
"CLEWSity","IMPDSL001",2023,65.0389382613056
"CLEWSity","IMPDSL001",2024,81.8100973156801
"CLEWSity","IMPDSL001",2025,87.5151818642395
"CLEWSity","IMPDSL001",2026,56.413379372791
"CLEWSity","IMPDSL001",2027,49.3049549676287
"CLEWSity","IMPDSL001",2028,59.7211344434005
"CLEWSity","IMPDSL001",2029,58.4943917263686
"CLEWSity","IMPDSL001",2030,86.349532103434
"CLEWSity","IMPDSL001",2031,64.6300150036733
"CLEWSity","IMPDSL001",2032,48.1092892035626
"CLEWSity","IMPDSL001",2033,26.3897240463698
"CLEWSity","IMPDSL001",2034,10.060347964117
"CLEWSity","IMPDSL001",2035,3.98866628617923
"CLEWSity","IMPDSL001",2036,4.43107555330084
"CLEWSity","IMPDSL001",2037,4.57646413861754
"CLEWSity","IMPDSL001",2038,4.97468753556324
"CLEWSity","IMPDSL001",2039,4.5611606793284
"CLEWSity","IMPDSL001",2040,25.4287735459664
"CLEWSity","IMPDSL001",2041,14.697377550474
"CLEWSity","IMPDSL001",2042,4.96329443964981
"CLEWSity","IMPDSL001",2043,4.88337793247334
"CLEWSity","IMPDSL001",2044,5.18433810153074
"CLEWSity","IMPDSL001",2045,5.1911737562598
"CLEWSity","IMPDSL001",2046,7.50529221261792
"CLEWSity","IMPDSL001",2047,7.90527293231884
"CLEWSity","IMPDSL001",2048,7.96456976384465
"CLEWSity","IMPDSL001",2049,8.36455048354557
"CLEWSity","IMPDSL001",2050,8.7647038579292
"CLEWSity","IMPDSL001",2051,9.52231816428005
"CLEWSity","IMPDSL001",2052,10.6207890134887
"CLEWSity","IMPDSL001",2053,14.6941117919845
"CLEWSity","IMPDSL001",2054,22.7127910420403
"CLEWSity","IMPDSL001",2055,47.814703138386
"CLEWSity","IMPGSL001",2020,1.87076470588235
"CLEWSity","IMPGSL001",2021,1.90233834892762
"CLEWSity","IMPGSL001",2022,2.07100417747388
"CLEWSity","IMPGSL001",2023,2.08529650637659
"CLEWSity","IMPGSL001",2024,2.25580994988443
"CLEWSity","IMPGSL001",2025,2.17102343211972
"CLEWSity","IMPGSL001",2026,2.12482486461972
"CLEWSity","IMPGSL001",2027,2.26669168187822
"CLEWSity","IMPGSL001",2028,2.22050111437822
"CLEWSity","IMPGSL001",2029,2.17430254687822
"CLEWSity","IMPGSL001",2030,2.01662447787822
"CLEWSity","IMPGSL001",2031,1.94430254687822
"CLEWSity","IMPGSL001",2032,1.9235794195602
"CLEWSity","IMPGSL001",2033,1.97841507838373
"CLEWSity","IMPGSL001",2034,2.03219844308961
"CLEWSity","IMPGSL001",2035,1.99433314308961
"CLEWSity","IMPGSL001",2036,2.17443394872624
"CLEWSity","IMPGSL001",2037,2.2537018554741
"CLEWSity","IMPGSL001",2038,2.4570339001008
"CLEWSity","IMPGSL001",2039,2.25644901174002
"CLEWSity","IMPGSL001",2040,2.34029070217785
"CLEWSity","IMPGSL001",2041,2.41199837276608
"CLEWSity","IMPGSL001",2042,2.48164721982491
"CLEWSity","IMPGSL001",2043,2.44168896623667
"CLEWSity","IMPGSL001",2044,2.54150192510621
"CLEWSity","IMPGSL001",2045,2.56689084532473
"CLEWSity","IMPGSL001",2046,3.66981710630896
"CLEWSity","IMPGSL001",2047,3.86800696615942
"CLEWSity","IMPGSL001",2048,3.89585438192233
"CLEWSity","IMPGSL001",2049,4.09404424177279
"CLEWSity","IMPGSL001",2050,4.2923204289646
"CLEWSity","IMPGSL001",2051,4.66887658214002
"CLEWSity","IMPGSL001",2052,5.21586150674436
"CLEWSity","IMPGSL001",2053,5.662399228
"CLEWSity","IMPGSL001",2054,5.7940910365
"CLEWSity","IMPGSL001",2055,6.48728551101982
"CLEWSity","LNDAGR001",2020,3808.6654854713
"CLEWSity","LNDAGR001",2021,3882.0164463121
"CLEWSity","LNDAGR001",2022,3969.89144759321
"CLEWSity","LNDAGR001",2023,4041.94360703414
"CLEWSity","LNDAGR001",2024,4129.80644101022
"CLEWSity","LNDAGR001",2025,4216.33151734474
"CLEWSity","LNDAGR001",2026,4282.62199800739
"CLEWSity","LNDAGR001",2027,4366.82346769465
"CLEWSity","LNDAGR001",2028,4457.02458691153
"CLEWSity","LNDAGR001",2029,4523.31506757418
"CLEWSity","LNDAGR001",2030,4600.88904379104
"CLEWSity","LNDAGR001",2031,4686.59217600791
"CLEWSity","LNDAGR001",2032,4751.62139523774
"CLEWSity","LNDAGR001",2033,4837.32406045461
"CLEWSity","LNDAGR001",2034,4929.238523553
"CLEWSity","LNDAGR001",2035,5034.62761082952
"CLEWSity","LNDAGR001",2036,5152.04774105888
"CLEWSity","LNDAGR001",2037,5252.10532730435
"CLEWSity","LNDAGR001",2038,5365.09914950763
"CLEWSity","LNDAGR001",2039,5462.60185778882
"CLEWSity","LNDAGR001",2040,5554.7342263692
"CLEWSity","LNDAGR001",2041,5657.20208254686
"CLEWSity","LNDAGR001",2042,5783.38349884735
"CLEWSity","LNDAGR001",2043,5905.42315449412
"CLEWSity","LNDAGR001",2044,6028.39789665217
"CLEWSity","LNDAGR001",2045,6139.90165665645
"CLEWSity","LNDAGR001",2046,6390.26804913786
"CLEWSity","LNDAGR001",2047,6529.54884760899
"CLEWSity","LNDAGR001",2048,6652.60679426225
"CLEWSity","LNDAGR001",2049,6791.88759273338
"CLEWSity","LNDAGR001",2050,6955.08625141029
"CLEWSity","LNDAGR001",2051,7111.56883972188
"CLEWSity","LNDAGR001",2052,7308.19214005712
"CLEWSity","LNDAGR001",2053,7471.33963961446
"CLEWSity","LNDAGR001",2054,7628.41121460642
"CLEWSity","LNDAGR001",2055,7865.50777917591
"CLEWSity","LNDBLT001",2020,750
"CLEWSity","LNDBLT001",2021,758
"CLEWSity","LNDBLT001",2022,765
"CLEWSity","LNDBLT001",2023,773
"CLEWSity","LNDBLT001",2024,780
"CLEWSity","LNDBLT001",2025,788
"CLEWSity","LNDBLT001",2026,796
"CLEWSity","LNDBLT001",2027,804
"CLEWSity","LNDBLT001",2028,812
"CLEWSity","LNDBLT001",2029,820
"CLEWSity","LNDBLT001",2030,828
"CLEWSity","LNDBLT001",2031,837
"CLEWSity","LNDBLT001",2032,845
"CLEWSity","LNDBLT001",2033,854
"CLEWSity","LNDBLT001",2034,862
"CLEWSity","LNDBLT001",2035,871
"CLEWSity","LNDBLT001",2036,879.000000000001
"CLEWSity","LNDBLT001",2037,888
"CLEWSity","LNDBLT001",2038,897
"CLEWSity","LNDBLT001",2039,906.000000000001
"CLEWSity","LNDBLT001",2040,915
"CLEWSity","LNDBLT001",2041,924
"CLEWSity","LNDBLT001",2042,934
"CLEWSity","LNDBLT001",2043,943
"CLEWSity","LNDBLT001",2044,952
"CLEWSity","LNDBLT001",2045,962
"CLEWSity","LNDBLT001",2046,971
"CLEWSity","LNDBLT001",2047,981
"CLEWSity","LNDBLT001",2048,991
