REGION,TIMESLICE,TECHNOLOGY,COMMODITY,YEAR,VALUE
"CLEWSity","SD","AGRCRP001","LNDAGR",2020,45.388479505101
"CLEWSity","SD","AGRCRP001","LNDAGR",2021,40.6938655711902
"CLEWSity","SD","AGRCRP001","LNDAGR",2022,41.8982235871603
"CLEWSity","SD","AGRCRP001","LNDAGR",2023,30.521305043016
"CLEWSity","SD","AGRCRP001","LNDAGR",2024,38.9168507170358
"CLEWSity","SD","AGRCRP001","LNDAGR",2025,36.4066535111519
"CLEWSity","SD","AGRCRP001","LNDAGR",2026,43.4266500185012
"CLEWSity","SD","AGRCRP001","LNDAGR",2027,33.5619968632968
"CLEWSity","SD","AGRCRP001","LNDAGR",2028,35.5061717655808
"CLEWSity","SD","AGRCRP001","LNDAGR",2029,39.6176446018395
"CLEWSity","SD","AGRCRP001","LNDAGR",2030,34.2174188175258
"CLEWSity","SD","AGRCRP001","LNDAGR",2031,32.8252437685061
"CLEWSity","SD","AGRCRP001","LNDAGR",2032,34.0185265702645
"CLEWSity","SD","AGRCRP001","LNDAGR",2033,33.6585427881138
"CLEWSity","SD","AGRCRP001","LNDAGR",2034,36.8949327881148
"CLEWSity","SD","AGRCRP001","LNDAGR",2035,34.4607843137255
"CLEWSity","SD","AGRCRP001","LNDAGR",2036,35.2450980392157
"CLEWSity","SD","AGRCRP001","LNDAGR",2037,35.9803921568627
"CLEWSity","SD","AGRCRP001","LNDAGR",2038,36.7647058823529
"CLEWSity","SD","AGRCRP001","LNDAGR",2039,37.5490196078431
"CLEWSity","SD","AGRCRP001","LNDAGR",2040,38.2843137254902
"CLEWSity","SD","AGRCRP001","LNDAGR",2041,39.2647058823529
"CLEWSity","SD","AGRCRP001","LNDAGR",2042,40.1960784313725
"CLEWSity","SD","AGRCRP001","LNDAGR",2043,41.1764705882353
"CLEWSity","SD","AGRCRP001","LNDAGR",2044,42.1078431372548
"CLEWSity","SD","AGRCRP001","LNDAGR",2045,47.4927769607843
"CLEWSity","SD","AGRCRP001","LNDAGR",2046,55.3484720098039
"CLEWSity","SD","AGRCRP001","LNDAGR",2047,45.0000000000001
"CLEWSity","SD","AGRCRP001","LNDAGR",2048,61.6903209068628
"CLEWSity","SD","AGRCRP001","LNDAGR",2049,45.9803921568627
"CLEWSity","SD","AGRCRP001","LNDAGR",2050,60.8385866645705
"CLEWSity","SD","AGRCRP001","LNDAGR",2051,65.5084573601367
"CLEWSity","SD","AGRCRP001","LNDAGR",2052,63.0614425131546
"CLEWSity","SD","AGRCRP001","LNDAGR",2053,79.2433271561319
"CLEWSity","SD","AGRCRP001","LNDAGR",2054,74.2389147318983
"CLEWSity","SD","AGRCRP001","LNDAGR",2055,88.7347488477366
"CLEWSity","SD","AGRPST001","LNDAGR",2020,896.75
"CLEWSity","SD","AGRPST001","LNDAGR",2021,914.543674698795
"CLEWSity","SD","AGRPST001","LNDAGR",2022,932.475903614458
"CLEWSity","SD","AGRPST001","LNDAGR",2023,950.40813253012
"CLEWSity","SD","AGRPST001","LNDAGR",2024,968.340361445783
"CLEWSity","SD","AGRPST001","LNDAGR",2025,992.25
"CLEWSity","SD","AGRPST001","LNDAGR",2026,1010.18222891566
